title,description,category,sub_category,priority
"Contaminated drinking water in Kanke","Drinking water supplied through municipal taps in Kanke Ranchi has a foul smell and yellow discoloration. Multiple residents have diarrhea and waterborne illnesses. Water purification plant needs immediate overhaul.","Water & Sanitation","Water Contamination","HIGH"
"Garbage accumulation near Sakchi market","Waste is piling up near Sakchi vegetable market in Jamshedpur for over a week without any municipal truck collection. Stray animals are scattering trash and breeding flies.","Water & Sanitation","Waste Management","HIGH"
"Drainage overflow in Doranda","Open drainage in Doranda Ranchi is completely choked with plastic and silt causing sewage water to flood streets and enter residential homes during heavy rains.","Water & Sanitation","Drainage & Sewage","HIGH"
"Broken water pipeline in Dhanbad","Underground water supply pipeline burst near Bank More Dhanbad causing millions of liters of potable water to flood the road while residential taps are completely dry.","Water & Sanitation","Water Supply","HIGH"
"Arsenic and fluoride in rural wells","Groundwater in several handpumps across rural Gumla district contains toxic levels of fluoride causing dental and skeletal fluorosis among school children.","Water & Sanitation","Water Contamination","HIGH"
"Potholes on Birsa Munda Airport road","The arterial road connecting Birsa Munda Airport to central Ranchi has crater-sized potholes leading to severe accidents and damaged vehicles especially at night.","Roads & Infrastructure","Road Damage","HIGH"
"Collapsing bridge in Bokaro","Old concrete bridge across river near Bokaro Steel City has visible structural cracks and exposed iron rebars posing grave collapse risk during monsoon flash floods.","Roads & Infrastructure","Bridge Safety","HIGH"
"Unpaved dirt road in Khunti village","Primary access road connecting 4 tribal villages to Khunti market remains unpaved mud track completely impassable for ambulances and delivery vehicles.","Roads & Infrastructure","Rural Roads","MEDIUM"
"Street pavement cave-in in Bistupur","Main pedestrian footpath in Bistupur commercial hub collapsed into storm drain creating dangerous exposed trench without any warning barricades.","Roads & Infrastructure","Footpath & Walkways","MEDIUM"
"Damaged highway divider in Hazaribagh","National Highway divider on NH-33 stretch in Hazaribagh broken with loose concrete blocks lying scattered across high-speed lanes.","Roads & Infrastructure","Highway Safety","HIGH"
"No primary health center in Namkum","Namkum block has no functional primary health clinic within 15 km distance forcing tribal patients and expectant mothers to travel hours for basic emergency care.","Healthcare","Healthcare Access","HIGH"
